ratings,text,date,sentimentType,commentCategoryName
5,ความทนทาน：,2025-05-19,Neutral,Other
5,แข็งแรงคงทน กระทัดรัดประหยัดพื้นที่,2025-05-19,Neutral,Other
5,ความทนทาน:พอใช้ได้,2025-05-19,Neutral,Other
5,"การออกแบบ:เหมาะสมตามราคา
 ความทนทาน:ไม่เท่าไร",2025-05-19,Positive,Product
5,"I ordered a white one i think, but it came in black and still good but plastic is a bit softer than i expected",2025-05-19,Neutral,Other
5,"ขนส่งดีกล่องไม่เสียหาย ร้านค้าแพคดี สินค้าครบเรียบร้อย
แต่วัสดุบางไปหน่อย  วางของกระจุกกระจิกไม่หนักมากได้",2025-05-19,Negative,Delivery
5,"การออกแบบ:ดี
 ความทนทาน:ดี
 🎨 การออกแบบ:ดี
 🛡️ความปลอดภัย:ดี
 🔧ความทนทาน:ดี
 ความปลอดภัย:ดี
 📦ความจุในการจัดเก็บ:ดี",2025-05-19,Positive,Product
1,ไม่ตรงปกเลยแม้แต่น้อย ถ้าจะเอามาขายบาทเดียวเอารูปที่ตรงปกมาลงด้วย หลอกลวงผู้บริโภคสุดๆ แย่มาก,2025-05-19,Negative,Product
1,สินค้าแตกหัก แจ้งร้านไปไม่ได้รับการตอบกลีบ,2025-05-18,Negative,Product
5,ความทนทาน:  ดี 🎨การออกแบบ:  ดี 🛡️ความปลอดภัย:  ดี 📦ความจุในการจัดเก็บ:  ดี,2025-05-18,Positive,Product
5,ความทนทาน:พอใช้,2025-05-18,Neutral,Other
5,โอเคครับได้รับแล้ว ครับ,2025-05-18,Neutral,Other
5,พลาสติกอ่อน ไปหน่อย สมราคา,2025-05-18,Neutral,Product
5,"ความทนทาน:สวยงามตรงปก,",2025-05-18,Negative,Product
5,ขนาดกำลังพอดีใส่ของได้จุกจิกสูงแค่หัวเข่าวัสดุพลาสติกก็คิดว่าไม่บางเยอะเกินไปความพึงพอใจในระดับกลาง,2025-05-18,Negative,Product
5,ดีๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,2025-05-18,Positive,Product
5,ดี,2025-05-18,Positive,Product
5,คุณภาพ ตามราคา,2025-05-18,Neutral,Product
5,ดีตรงปก,2025-05-18,Positive,Product
5,ได้รับสินค้าแล้ว ทางร้านส่งสินค้าครบ ตรงตามที่สั่ง,2025-05-17,Neutral,Service
5,"การออกแบบ:ดีๆๆๆๆๆ
 ความทนทาน:ดีๆๆๆๆๆๆ
 🎨 การออกแบบ:ดีๆๆๆๆๆ
 🛡️ความปลอดภัย:ดีๆๆๆๆๆ",2025-05-17,Positive,Product
5,,2025-05-17,Neutral,Other
5,"น่ารัก มีล้อเลื่อน
ชอบมากราคาถูก",2025-05-16,Positive,Product
5,พอดี เหมาะสม ตามราคา,2025-05-16,Neutral,Product
5,"ดีค่ะ
คุ้มค่า",2025-05-16,Positive,Product
5,ช่างภาพกิตติมศักดิ์เลยคะ...ถ่ายกระต๊อบให้เป็นคฤหาสห์ได้,2025-05-16,Neutral,Product
5,ดี,2025-05-16,Positive,Product
5,น้องเป็นสีขาว พลาสติกประกอบง่าย จิ๋วๆ,2025-05-16,Neutral,Product
5,สวย,2025-05-16,Positive,Product
5,สวยค่ะใส่เครื่องปรุงพอดี เลยกะทีดรัดดี,2025-05-16,Positive,Product
